Vehicle_Type,Lane_Type,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator,Day,Month,Year,Hour,Minute
0,0,350,120,3,65,Fraud,6,1,2023,11,20
1,1,120,100,3,78,Fraud,7,1,2023,14,55
2,1,0,0,3,53,Not Fraud,8,1,2023,18,25
5,1,350,120,3,92,Fraud,9,1,2023,2,5
6,0,140,100,3,60,Fraud,10,1,2023,6,35
4,1,160,100,3,105,Fraud,11,1,2023,10,0
3,0,180,160,3,70,Fraud,12,1,2023,15,40
0,1,350,90,3,88,Fraud,13,1,2023,20,15
1,0,120,0,3,45,Fraud,14,1,2023,1,55
2,1,0,0,3,72,Not Fraud,15,1,2023,7,30
5,0,350,120,3,58,Fraud,16,1,2023,12,10
6,1,140,120,3,81,Fraud,17,1,2023,17,45
4,0,160,120,3,67,Fraud,18,1,2023,22,20
3,1,180,180,3,98,Not Fraud,19,1,2023,4,0
0,0,350,120,3,50,Fraud,20,1,2023,8,30
1,1,120,90,3,75,Fraud,21,1,2023,13,10
2,1,0,0,3,62,Not Fraud,22,1,2023,16,45
5,1,350,120,3,84,Fraud,23,1,2023,22,25
6,0,140,120,3,55,Fraud,24,1,2023,2,55
4,1,160,160,3,80,Not Fraud,25,1,2023,7,35
3,0,180,100,3,68,Fraud,26,1,2023,12,10
0,1,350,350,3,90,Not Fraud,27,1,2023,15,45
1,0,120,90,3,48,Fraud,28,1,2023,21,25
2,1,0,0,3,77,Not Fraud,29,1,2023,3,5
5,0,350,120,3,63,Fraud,30,1,2023,7,35
6,1,140,140,3,87,Not Fraud,31,1,2023,11,10
4,0,160,100,3,52,Fraud,1,2,2023,16,50
3,1,180,120,3,95,Fraud,2,2,2023,21,25
0,0,350,350,3,73,Not Fraud,3,2,2023,3,5
1,1,120,120,3,82,Not Fraud,4,2,2023,8,40
2,1,0,0,3,57,Not Fraud,5,2,2023,13,20
5,1,350,350,3,96,Not Fraud,6,2,2023,18,55
6,0,140,100,3,66,Fraud,7,2,2023,23,30
4,1,160,160,3,89,Not Fraud,8,2,2023,5,10
3,0,180,120,3,51,Fraud,9,2,2023,9,40
0,1,350,350,3,76,Not Fraud,10,2,2023,14,20
1,0,120,0,3,61,Fraud,11,2,2023,17,55
2,1,0,0,3,85,Not Fraud,12,2,2023,23,35
5,0,350,350,3,74,Not Fraud,13,2,2023,4,5
6,1,140,90,3,93,Fraud,14,2,2023,8,45
4,0,160,120,3,49,Fraud,15,2,2023,13,20
3,1,180,180,3,83,Not Fraud,16,2,2023,16,55
0,0,350,90,3,59,Fraud,17,2,2023,22,35
1,1,120,90,3,91,Fraud,18,2,2023,4,15
2,1,0,0,3,71,Not Fraud,19,2,2023,8,45
5,1,350,140,3,86,Fraud,20,2,2023,13,25
6,0,140,90,3,56,Fraud,21,2,2023,18,0
4,1,160,160,3,79,Not Fraud,22,2,2023,22,35
3,0,180,180,3,64,Not Fraud,23,2,2023,4,15
0,1,350,120,3,97,Fraud,24,2,2023,8,50
1,0,120,120,3,69,Not Fraud,25,2,2023,13,30
2,1,0,0,3,94,Not Fraud,26,2,2023,18,5
5,0,350,100,3,54,Fraud,27,2,2023,23,40
6,1,140,140,3,81,Not Fraud,28,2,2023,5,20
4,0,160,90,3,65,Fraud,1,3,2023,9,50
3,1,180,180,3,92,Not Fraud,2,3,2023,14,30
0,0,350,350,3,50,Not Fraud,3,3,2023,18,5
1,1,120,90,3,75,Fraud,4,3,2023,23,45
2,1,0,0,3,58,Not Fraud,5,3,2023,3,15
5,1,350,90,3,89,Fraud,6,3,2023,7,55
6,0,140,90,3,44,Fraud,7,3,2023,12,30
4,1,160,160,3,78,Not Fraud,8,3,2023,16,5
3,0,180,180,3,67,Not Fraud,9,3,2023,21,45
0,1,350,350,3,95,Not Fraud,10,3,2023,3,25
1,0,120,90,3,55,Fraud,11,3,2023,8,55
2,1,0,0,3,80,Not Fraud,12,3,2023,13,35
5,0,350,350,3,62,Not Fraud,13,3,2023,18,10
6,1,140,90,3,87,Fraud,14,3,2023,23,50
4,0,160,160,3,47,Not Fraud,15,3,2023,5,30
3,1,180,100,3,73,Fraud,16,3,2023,10,5
0,0,350,350,3,68,Not Fraud,17,3,2023,14,45
1,1,120,120,3,91,Not Fraud,18,3,2023,19,20
2,1,0,0,3,53,Not Fraud,19,3,2023,0,55
5,1,350,100,3,82,Fraud,20,3,2023,6,35
6,0,140,110,3,56,Fraud,21,3,2023,11,5
4,1,160,90,3,84,Fraud,22,3,2023,15,40
3,0,180,180,3,69,Not Fraud,23,3,2023,21,20
0,1,350,350,3,94,Not Fraud,24,3,2023,2,0
1,0,120,100,3,49,Fraud,25,3,2023,6,30
2,1,0,0,3,76,Not Fraud,26,3,2023,11,5
5,0,350,350,3,63,Not Fraud,27,3,2023,16,45
6,1,140,120,3,88,Fraud,28,3,2023,21,20
4,0,160,60,3,74,Fraud,29,3,2023,2,50
3,1,180,90,3,96,Fraud,30,3,2023,7,30
0,0,350,140,3,61,Fraud,31,3,2023,12,5
1,1,120,60,3,85,Fraud,1,4,2023,16,40
2,1,0,0,3,52,Not Fraud,2,4,2023,22,20
5,1,350,350,3,79,Not Fraud,3,4,2023,3,0
6,0,140,140,3,66,Not Fraud,4,4,2023,7,30
4,1,160,160,3,90,Not Fraud,5,4,2023,12,5
3,0,180,140,3,48,Fraud,6,4,2023,15,40
0,1,350,90,3,77,Fraud,7,4,2023,21,20
1,0,120,90,3,60,Fraud,8,4,2023,2,55
2,1,0,0,3,83,Not Fraud,9,4,2023,6,30
5,0,350,350,3,71,Not Fraud,10,4,2023,11,10
6,1,140,90,3,97,Fraud,11,4,2023,15,50
4,0,160,160,3,46,Not Fraud,12,4,2023,20,25
3,1,180,0,3,81,Fraud,13,4,2023,1,0
0,0,350,100,3,64,Fraud,14,4,2023,6,40
1,1,120,120,3,93,Not Fraud,15,4,2023,11,15
2,1,0,0,3,57,Not Fraud,16,4,2023,15,50
5,1,350,350,3,86,Not Fraud,17,4,2023,21,30
6,0,140,90,3,55,Fraud,18,4,2023,3,10
4,1,160,160,3,82,Not Fraud,19,4,2023,7,40
3,0,180,100,3,63,Fraud,20,4,2023,12,20
0,1,350,350,3,90,Not Fraud,21,4,2023,16,55
1,0,120,120,3,48,Not Fraud,22,4,2023,22,35
2,1,0,0,3,76,Not Fraud,23,4,2023,4,15
5,0,350,100,3,58,Fraud,24,4,2023,8,50
6,1,140,140,3,87,Not Fraud,25,4,2023,13,30
4,0,160,100,3,67,Fraud,26,4,2023,18,5
3,1,180,90,3,94,Fraud,27,4,2023,23,40
0,0,350,100,3,71,Fraud,1,1,2023,8,15
1,1,120,120,3,89,Not Fraud,2,1,2023,12,45
2,1,0,0,3,52,Not Fraud,3,1,2023,16,30
5,1,350,350,3,79,Not Fraud,4,1,2023,22,10
6,0,140,120,3,66,Fraud,5,1,2023,5,40
4,1,160,160,3,95,Not Fraud,6,1,2023,11,20
3,0,180,120,3,44,Fraud,7,1,2023,14,55
0,1,350,350,3,78,Not Fraud,8,1,2023,18,25
1,0,120,90,3,61,Fraud,9,1,2023,2,5
2,1,0,0,3,85,Not Fraud,10,1,2023,6,35
5,0,350,350,3,49,Not Fraud,11,1,2023,10,0
6,1,140,90,3,74,Fraud,12,1,2023,15,40
4,0,160,120,3,69,Fraud,13,1,2023,20,15
3,1,180,180,3,92,Not Fraud,14,1,2023,1,55
0,0,350,140,3,57,Fraud,15,1,2023,7,30
1,1,120,120,3,83,Not Fraud,16,1,2023,12,10
2,1,0,0,3,68,Not Fraud,17,1,2023,17,45
5,1,350,350,3,96,Not Fraud,18,1,2023,22,20
6,0,140,90,3,46,Fraud,19,1,2023,4,0
4,1,160,120,3,81,Fraud,20,1,2023,8,30
3,0,180,100,3,60,Fraud,21,1,2023,13,10
0,1,350,180,3,88,Fraud,22,1,2023,16,45
1,0,120,0,3,53,Fraud,23,1,2023,22,25
2,1,0,0,3,77,Not Fraud,24,1,2023,2,55
5,0,350,350,3,64,Not Fraud,25,1,2023,7,35
6,1,140,140,3,91,Not Fraud,26,1,2023,12,10
4,0,160,160,3,50,Not Fraud,27,1,2023,15,45
3,1,180,180,3,75,Not Fraud,28,1,2023,21,25
0,0,350,90,3,59,Fraud,29,1,2023,3,5
1,1,120,90,3,84,Fraud,30,1,2023,7,35
2,1,0,0,3,66,Not Fraud,31,1,2023,11,10
5,1,350,350,3,93,Not Fraud,1,2,2023,16,50
6,0,140,100,3,45,Fraud,2,2,2023,21,25
4,1,160,160,3,80,Not Fraud,3,2,2023,3,5
3,0,180,180,3,62,Not Fraud,4,2,2023,8,40
0,1,350,180,3,86,Fraud,5,2,2023,13,20
1,0,120,120,3,51,Not Fraud,6,2,2023,18,55
2,1,0,0,3,73,Not Fraud,7,2,2023,23,30
5,0,350,100,3,56,Fraud,8,2,2023,5,10
6,1,140,140,3,82,Not Fraud,9,2,2023,9,40
4,0,160,100,3,70,Fraud,10,2,2023,14,20
3,1,180,180,3,97,Not Fraud,11,2,2023,17,55
0,0,350,180,3,47,Fraud,12,2,2023,23,35
1,1,120,180,3,84,Fraud,13,2,2023,4,5
2,1,0,0,3,65,Not Fraud,14,2,2023,8,45
5,1,350,180,3,92,Fraud,15,2,2023,13,20
6,0,140,120,3,53,Fraud,16,2,2023,16,55
4,1,160,160,3,79,Not Fraud,17,2,2023,22,35
3,0,180,160,3,61,Fraud,18,2,2023,4,15
0,1,350,180,3,89,Fraud,19,2,2023,8,45
1,0,120,120,3,44,Not Fraud,20,2,2023,13,25
2,1,0,0,3,78,Not Fraud,21,2,2023,18,0
5,0,350,100,3,67,Fraud,22,2,2023,22,35
6,1,140,90,3,95,Fraud,23,2,2023,4,15
4,0,160,160,3,55,Not Fraud,24,2,2023,8,50
3,1,180,120,3,80,Fraud,25,2,2023,13,30
0,0,350,350,3,62,Not Fraud,26,2,2023,18,5
1,1,120,120,3,87,Not Fraud,27,2,2023,23,40
2,1,0,0,3,47,Not Fraud,28,2,2023,5,20
5,1,350,120,3,73,Fraud,1,3,2023,9,50
6,0,140,100,3,68,Fraud,2,3,2023,14,30
4,1,160,90,3,91,Fraud,3,3,2023,18,5
3,0,180,90,3,52,Fraud,4,3,2023,23,45
0,1,350,90,3,82,Fraud,5,3,2023,3,15
1,0,120,120,3,56,Not Fraud,6,3,2023,7,55
2,1,0,0,3,84,Not Fraud,7,3,2023,12,30
5,0,350,350,3,69,Not Fraud,8,3,2023,16,5
6,1,140,120,3,94,Fraud,9,3,2023,21,45
4,0,160,120,3,49,Fraud,10,3,2023,3,25
3,1,180,180,3,76,Not Fraud,11,3,2023,8,55
0,0,350,350,3,63,Not Fraud,12,3,2023,13,35
1,1,120,120,3,88,Not Fraud,13,3,2023,18,10
2,1,0,0,3,74,Not Fraud,14,3,2023,23,50
5,1,350,120,3,96,Fraud,15,3,2023,5,30
6,0,140,100,3,61,Fraud,16,3,2023,10,5
4,1,160,160,3,85,Not Fraud,17,3,2023,14,45
3,0,180,180,3,52,Not Fraud,18,3,2023,19,20
0,1,350,350,3,79,Not Fraud,19,3,2023,0,55
1,0,120,120,3,66,Not Fraud,20,3,2023,6,35
2,1,0,0,3,90,Not Fraud,21,3,2023,11,5
5,0,350,350,3,48,Not Fraud,22,3,2023,15,40
6,1,140,140,3,77,Not Fraud,23,3,2023,21,20
4,0,160,160,3,60,Not Fraud,24,3,2023,2,0
3,1,180,90,3,83,Fraud,25,3,2023,6,30
0,0,350,160,3,71,Fraud,26,3,2023,11,5
1,1,120,120,3,97,Not Fraud,27,3,2023,16,45
2,1,0,0,3,46,Not Fraud,28,3,2023,21,20
5,1,350,100,3,81,Fraud,29,3,2023,2,50
6,0,140,140,3,64,Not Fraud,30,3,2023,7,30
4,1,160,160,3,93,Not Fraud,1,1,2023,8,15
3,0,180,120,3,57,Fraud,2,1,2023,12,45
0,1,350,100,3,86,Fraud,3,1,2023,16,30
1,0,120,120,3,55,Not Fraud,4,1,2023,22,10
2,1,0,0,3,82,Not Fraud,5,1,2023,5,40
5,0,350,90,3,63,Fraud,6,1,2023,11,20
6,1,140,120,3,90,Fraud,7,1,2023,14,55
4,0,160,160,3,48,Not Fraud,8,1,2023,18,25
3,1,180,180,3,76,Not Fraud,9,1,2023,2,5
0,0,350,350,3,58,Not Fraud,10,1,2023,6,35
1,1,120,0,3,87,Fraud,11,1,2023,10,0
2,1,0,0,3,67,Not Fraud,12,1,2023,15,40
5,1,350,120,3,94,Fraud,13,1,2023,20,15
6,0,140,140,3,71,Not Fraud,14,1,2023,1,55
4,1,160,60,3,89,Fraud,15,1,2023,7,30
3,0,180,140,3,52,Fraud,16,1,2023,12,10
0,1,350,350,3,79,Not Fraud,17,1,2023,17,45
1,0,120,120,3,66,Not Fraud,18,1,2023,22,20
2,1,0,0,3,95,Not Fraud,19,1,2023,4,0
5,0,350,350,3,44,Not Fraud,20,1,2023,8,30
6,1,140,100,3,78,Fraud,21,1,2023,13,10
4,0,160,60,3,61,Fraud,22,1,2023,16,45
